ticker,test_accuracy,benchmark_test_accuracy,train_accuracy,benchmark_train_accuracy
RF,0.7894039735099337,0.39470198675496687,0.8303393213572854,0.39188290086493677
RLJ,0.297029702970297,0.42857142857142855,0.3417015341701534,0.36610878661087864
RTN,0.26707317073170733,0.3146341463414634,0.24548736462093862,0.3405535499398315
SBH,0.7489082969432315,0.35152838427947597,0.7576099210822999,0.38669673055242393
SCHW,0.15091210613598674,0.3449419568822554,0.15495207667731628,0.36022364217252395
SEMG,0.1875,0.34593023255813954,0.18175182481751825,0.38248175182481753
SKX,0.2524390243902439,0.3475609756097561,0.23405535499398314,0.351985559566787
SNH,0.9760191846522782,0.407673860911271,0.9579326923076923,0.38461538461538464
SRE,0.29634146341463413,0.35,0.2833935018050541,0.3369434416365824
STAY,0.9102564102564102,0.47435897435897434,0.9003215434083601,0.3890675241157556
